spo2_percentage,day
98.523,2023-02-04
97.181,2023-02-05
99.177,2023-02-06
98.634,2023-02-07
98.44,2023-02-09
98.467,2023-02-10
98.127,2023-02-11
96.467,2023-02-12
97.286,2023-02-13
97.289,2023-02-14
97.392,2023-02-15
97.455,2023-02-16
97.04,2023-02-17
97.701,2023-02-18
98.364,2023-02-19
97.751,2023-02-20
98.58,2023-02-21
98.551,2023-02-22
97.76,2023-02-23
95.414,2023-02-24
97.208,2023-02-25
96.683,2023-02-26
96.746,2023-02-27
,2023-02-28
98.226,2023-03-01
98.292,2023-03-02
98.772,2023-03-03
98.39,2023-03-04
96.631,2023-03-05
95.946,2023-03-06
97.985,2023-03-07
98.155,2023-03-08
97.678,2023-03-09
98.026,2023-03-10
98.52,2023-03-11
97.603,2023-03-12
97.429,2023-03-13
97.339,2023-03-14
98.363,2023-03-15
98.16,2023-03-16
98.491,2023-03-17
96.78,2023-03-18
96.925,2023-03-19
96.563,2023-03-20
98.377,2023-03-21
97.207,2023-03-22
98.757,2023-03-23
96.214,2023-03-25
97.967,2023-03-26
98.408,2023-03-27
98.339,2023-03-28
,2023-03-29
98.222,2023-03-30
96.167,2023-03-31
98.989,2023-04-01
97.793,2023-04-02
97.976,2023-04-03
98.67,2023-04-04
98.932,2023-04-05
98.854,2023-04-06
98.639,2023-04-07
98.715,2023-04-08
,2023-04-09
97.826,2023-04-10
98.505,2023-04-11
97.546,2023-04-12
97.77,2023-04-13
98.052,2023-04-14
97.814,2023-04-16
98.555,2023-04-17
98.908,2023-04-18
98.29,2023-04-19
98.753,2023-04-20
98.411,2023-04-21
98.929,2023-04-23
96.448,2023-04-24
98.166,2023-04-25
97.883,2023-04-26
95.712,2023-04-27
98.684,2023-04-28
96.789,2023-04-29
97.91,2023-04-30
98.116,2023-05-03
97.525,2023-05-04
98.119,2023-05-05
95.942,2023-05-06
,2023-05-07
98.307,2023-05-09
98.482,2023-05-10
98.668,2023-05-11
98.553,2023-05-12
96.625,2023-05-13
97.439,2023-05-14
98.008,2023-05-15
98.202,2023-05-16
97.553,2023-05-17
97.817,2023-05-18
98.47,2023-05-19
98.219,2023-05-20
96.0,2023-05-21
98.045,2023-05-22
96.775,2023-05-23
97.808,2023-05-24
96.786,2023-05-25
96.078,2023-05-26
98.441,2023-05-27
95.91,2023-05-29
97.642,2023-05-30
97.7,2023-05-31
97.682,2023-06-01
97.996,2023-06-02
95.642,2023-06-04
98.836,2023-06-05
98.653,2023-06-06
98.44,2023-06-07
,2023-06-08
99.052,2023-06-09
98.782,2023-06-10
98.579,2023-06-11
